,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu
0,,,,,,,,,,,,,,,,
1,Khoa Học Về Nấu Ăn - The Science Of Cooking,https://salt.tikicdn.com/cache/280x280/ts/product/15/d4/d5/70ad904b07a46853d61af141185078f5.jpg,Nấu ăn,Stuart Farrimond,"Nắm bắt các kiến thức khoa học và nấu ăn như một đầu bếp thực thụ!Cùng tìm hiểu xem tại sao ướp thịt qua đêm là không cần thiết, ngâm nước các loại gia vị khô lại giúp gia tăng hương vị, tại sao tốt n...",269000,Nhã Nam,2021-03-15 00:00:00,21 x 25.5 cm,Bìa cứng,258,Nhà Xuất Bản Thế Giới,Hà Dũng Minh,,,
2,Nấu Ngon Chuẩn Thái - 90 Công Thức Món Thái Đặc Sắc Chuẩn Vị,https://salt.tikicdn.com/cache/280x280/ts/product/0b/88/8d/081f134076b384003a1ef4c032b009fc.jpg,Nấu ăn,Leela Punyaratabandhu,"Thái Lan là một trong những đất nước có nền ẩm thực phong phú và đa dạng nhất thế giới. Ai có thể nói không với một đĩa Pad Thái thơm ngon, gỏi đu đủ xanh tươi mát, nem rán vàng ruộm, hay món canh Tom...",127700,I Love Cookbooks,,17 x 24 cm,Bìa mềm,280,Nhà Xuất Bản Thế Giới,Thu Hà,,,
3,BREW - Tuyệt Đỉnh Cà Phê Tại Nhà,https://salt.tikicdn.com/cache/280x280/ts/product/76/a1/4e/11a8c3d85b5ab61e03472288232dd642.jpg,Nấu ăn,Brian Jones,"BREW - Tuyệt Đỉnh Cà Phê Tại NhàNếu bạn đang cố gắng thử làm một tách cà phê chất lượng ở nhà mà chưa biết bắt đầu từ đâu, hãy để Brew chỉ đường cho bạn. Trong cuốn sách này, tác giả và ...",120300,I Love Cookbooks,2020-02-02 00:00:00,17 x 24  cm,Bìa mềm,176,Nhà Xuất Bản Thế Giới,,,,
4,80 Ngày Ăn Khắp Thế Giới,https://salt.tikicdn.com/cache/280x280/media/catalog/product/8/0/80-ngay-an-khap-the-gioi-1.u4939.d20170607.t092546.999744.jpg,Nấu ăn,Phan Anh (Esheep),80 Ngày Ăn Khắp Thế Giới là cuốn sách dành cho trẻ em từ 7 – 14 tuổi. Sách hướng dẫn nấu ăn và tìm hiểu ẩm thực thế giới được viết thành câu chuyện phiêu lưu vòng quanh thế giới đầy thú vị. Cuộc phiê...,180000,Nhà Xuất Bản Kim Đồng,2017-06-07 00:00:00,19 x 24 cm,Bìa cứng,168,,,,,
5,Thực Đơn Keto Dành Cho Người Bận Rộn,https://salt.tikicdn.com/cache/280x280/ts/product/bc/e8/59/811bcb51bbddf1e54e9286859a7b19ef.jpg,Nấu ăn,Liz Williams,"Bạn muốn áp dụng chế độ ăn Keto nhưng lại luôn e ngại vì không có đủ thời gian và cảm thấy các công thức nấu ăn quá phức tạp? Không cần phải lo lắng nhiều hơn nữa, vì với “Thực đơn Keto dành cho người...",142700,Booklife,2020-08-01 00:00:00,17 x 23 cm,Bìa mềm,220,Nhà Xuất Bản Thanh Niên,Trình Quang Huy,,,
6,Chuyện Của Bánh,https://salt.tikicdn.com/cache/280x280/media/catalog/product/c/h/chuyen-cua-banh.jpg,Nấu ăn,Nguyễn Bảo Anh Thư,"Chuyện Của Bánh Chuyện của bánh, câu chuyện được kể bằng ngôn ngữ bánh trái của Nguyễn Bảo Anh Thư, cô gái bước ra từ sân chơi Masterchef Việt Nam mùa đầu tiên với biệt danh Công chúa bánh ngọt.  C...",119100,VanVietBooks,2013-11-30 00:00:00,15.6 x 21 cm,Bìa cứng,146,,,,,
7,DEEP NUTRITION - Dinh Dưỡng Chuyên Sâu,https://salt.tikicdn.com/cache/280x280/ts/product/c8/35/b9/b42d3d6caa8f5c45679cb2b53165976b.jpg,Nấu ăn,"Catherine Shanahan,M.D.","Tại sao gen của bạn lại cần thực phẩm truyền thống?Khi bắt đầu đưa ra những quan điểm trong Deep Nutrition, tiến sĩ Catherine từng bị gọi là “kẻ phá hoại” bởi những nghiên cứu của cô đánh thẳng một đ...",193200,I love Cookbook,2021-06-01 00:00:00,17 x 24 cm,Bìa mềm,560,Nhà Xuất Bản Thế Giới,Bùi Trang,,,
8,Mặn Béo Chua Nóng,https://salt.tikicdn.com/cache/280x280/ts/product/fc/55/35/f8cc09b40d5e6c04a0337dc5de9274e5.jpg,Nấu ăn,Samin Nosrat,"Một cuốn sách dạy nấu ăn mới lạ, độc đáo và ý nghĩa, với hàng chục năm kinh nghiệm nấu ăn chuyên nghiệp được đúc kết thành bốn yếu tố giản đơn, đến từ nữ tác giả được siêu đầu bếp Alice Waters mệnh da...",359500,Huy Hoàng Bookstore,2019-09-01 00:00:00,20.5 x 27.5 cm,Bìa mềm,452,,,,,
9,Chào Juice,https://salt.tikicdn.com/cache/280x280/ts/product/02/08/5a/afe5d11f12e2c183ffd4d0d84c463a92.jpg,Nấu ăn,Trần Thanh Huyền,"“Chào Juice” là một cuốn sách được tạo nên bởi tình yêu và đam mê với juice của Thanh Huyền- người con gái yêu yoga, nghiện juice, mang trong mình một năng lượng bền bỉ, cùng mong muốn lan tỏa phong c...",127500,I Love Cookbooks,2018-11-16 10:38:13,<p>16 x 24cm</p>,Bìa mềm,,,,,,
