tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa,dịch giả
Score Maximizing For The TOEFL® iBT - Speaking And Writing,https://www.vinabook.com/images/thumbnails/product/240x/360549_p91803mimage195509133510.jpg,Đại học – cao đẳng – thcn,"  Thông tin tác giả    Bruce Stirling     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     TOEFL iBT được coi là “tấm hộ chiếu” mở ra cánh cửa du học
khắp năm châu. Tuy nhiên, để đạt được điểm số mong muốn bạn cần có một chiến
lược học tập hiệu quả. “Score Maximizing for the TOEFL® iBT – Speaking and Writing”
là một trong những cuốn sách nổi tiếng trên toàn thế giới và tại Việt Nam được
biên soạn bởi giáo sư Bruce Stirling. Cuốn sách sẽ trang bị những kiến thức hữu ích: - Giúp cho  người học cải thiện và củng cố những kỹ năng
ngôn ngữ của bản thân. - Xây dựng chiến lược học tập giúp tiết kiệm thời gian và hạn
chế mắc những lỗi cơ bản trong bài thi. - Hướng dẫn chi tiết cho từng dạng bài trong phần thi Nói và
Viết. - Bài tập thực hành, vận dụng kèm đáp án và file audio giúp
nâng cao hiệu quả làm bài và khả năng tự đánh giá các kỹ năng của bản thân. Cuốn sách gồm các phần: - Xây dựng phương pháp lập luận theo sơ đồ để phát triển kỹ
năng Nói và Viết. -  Hướng dẫn chi tiết
và ví dụ minh họa cụ thể cho từng dạng bài trong  phần thi Nói và Viết của TOEFL iBT. - Hệ thống bài tập , kèm đáp án cho từng dạng câu hỏiMời bạn đón đọc. ",149.0, 16 x 24 cm , 2020 , 1980Books , NXB Dân Trí ,428.0, Bruce Stirling , Bìa mềm ,
Unconventional Tactics For Achieving Ielts Writing,https://www.vinabook.com/images/thumbnails/product/240x/360401_p91762munconventialtacticsforachievingieltswritingfulloutline1t52020.jpg,Đại học – cao đẳng – thcn,"  Thông tin tác giả    Tiết Hồng Cương     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trong kho tàng tài liệu tham khảo cho IELTS Writing, cuốn
sách nổi bật với cách tiếp cận toàn diện và khác biệt đối với kỹ năng được xem
khó nhất của IELTS này. Unconventional Tactics for achieving IELTS Writing - A
comprehensive advanced approach chắc chắn sẽ là vũ khí ôn tập hiệu quả giúp người
học chinh phục band điểm cao cho phần thi viết. Dựa trên phân tích về kỳ vọng của giám khảo, tiêu chí chấm
điểm và lỗi sai thường gặp, cuốn sách hướng dẫn thí sinh tiếp cận đề, định hướng
tư duy trên bộ khung cấu trúc bài viết áp dụng cho từng dạng bài khác nhau, của
cả Task 2 và Task 1. Đặc sản của cuốn sách là 17 mẫu câu tuyệt đỉnh cho điểm số
vượt trội dựa trên các chủ điểm ngữ pháp cao cấp và 25 bài mẫu vô cùng đặc sắc
được chọn lọc kỹ lưỡng. Phần trọng tâm này giúp người đọc rèn luyện tư duy, học
tập cách tiếp cận đề độc đáo, cách triển khai bài viết ấn tượng, các cụm từ và
mẫu câu phong phú. Cuốn sách nâng tầm kỹ năng viết, biến việc ôn tập vốn kho
khan trở thành hành trình khám phá ngôn ngữ và văn học đầy thi vị. Cuốn sách cũng hướng dẫn chi tiết dạng bài, mẫu câu và bài mẫu
cho phần mô tả biểu đồ và viết thư với tiêu chí không để mất điểm ở bất kỳ phần
nào. Cuốn sách bắt đầu bằng khái quát về IELTS Writing, các tiêu
chí chấm điểm và lỗi sai thường gặp. Đồng thời, hướng dẫn học sinh tiếp cận đề.
Phần tiếp theo là các mẫu đặc sắc và các bài mẫu xuất sắc đạt điểm cao được
phân tích tỉ mỉ từ cách tiếp cận đề, hướng dẫn lên cấu trúc bài viết, gạch chân
các từ vựng trọng điểm. Các bài mẫu được chọn lọc từ nhiều chủ đề khác nhau,
nhưng gần gủi và sát với đề thi thật. Điểm cộng lớn của phần này là không chỉ
đơn thuần cho thí sinh bài mẫu “ăn sẵn” mà nỗ lực định hướng giúp thí sinh phân
loại tư duy, áp dụng vào các đề bài khác nhau nhưng cùng cùng chủ đề hoặc dạng
bài. Phần hướng dẫn cho Task 1 (bao gồm miêu tả biểu đồ và viết thư) cũng được
trình bày khoa học và hệ thống. Chiến lược xuyên suốt cuốn sách là giúp người học
định hướng và phân loại tư duy để tự tin khi tiếp cận bất kỳ dạng đề nào. Tactics for achieving IELTS Writing - A comprehensive
advanced approach đảm bảo cho bạn chiến thuật lợi hại nhất chinh phục bài thi
viết của IELTS.Mời bạn đón đọc. ",168.0, 16 x 24 cm , 2020 , 1980Books , NXB Dân Trí ,380.0, Tiết Hồng Cương , Bìa mềm ,
56 Module Essays For Ielts Writing,https://www.vinabook.com/images/thumbnails/product/240x/360400_p91761m56modelessaysforieltswritingoutline01.jpg,Đại học – cao đẳng – thcn,"  Thông tin tác giả    Vi Hiểu Lượng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     IELTS là một kỳ thi đánh giá năng lực ngôn ngữ và được nhiều
quốc gia và các trường đại học trên thế giới sử dụng để khảo sát khả năng ngôn
ngữ của người học. Đặc biệt, kỹ năng viết là một trong những kỹ năng khó của kỳ
thi này. Có lẽ bạn đang cần đến một cuốn cẩm nang  hướng dẫn 
cách viết cho từng dạng bài, cách sử dụng câu, cụm từ, cách xây dựng  và triển khai các ý để có  được các luận điểm ngắn gọn mà chặt chẽ đáp ứng
được cái tiêu chí chấm điểm của bài thi. “56 Model eassays for IELTS Writing” chính là sự kết hợp
hoàn hảo của các yếu tố đó. Bạn có thể dễ dàng 
nắm bắt được các dạng bài của IELTS writing task 1 và task 2 bám sát
theo chương trình thi hiện nay. Bên cạnh đó với tiêu chí hướng đến việc “Học
đi đôi với thực hành”. Sau mỗi đề và bài mẫu đã được phân tích và hướng dẫn
cách viết cụ thể trong IELTS Writing task 2 là hệ thống bài tập và dàn ý giúp
người học dễ dàng hình thành cách lập luận và tư duy logic để  tránh được tình trạng sao chép văn mẫu và sử
dụng rập khuôn các câu, cụm từ một cách máy móc trong bài thi. Qua đó giúp nâng
cao khả năng tư duy và sử dụng ngôn ngữ của người học. Cuốn sách gồm các phần như: -  Phân tích đề -  Bài mẫu hay -  Phân tích
các yếu tố đạt điểm tuyệt đối -  Luyện tập viết
luận dựa theo các gợi ýMời bạn đón đọc. ",148.0, 16 x 24 cm , 2020 , 1980Books , NXB Dân Trí ,268.0, Vi Hiểu Lượng , Bìa mềm ,
How To Write A Perfect Essay For Ielts,https://www.vinabook.com/images/thumbnails/product/240x/360396_p91757mhowtowritetheperfectessayforieltsba1.jpg,Đại học – cao đẳng – thcn,"  Thông tin tác giả    David S. Wills     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Làm thế nào để viết được một bài luận xuất sắc? Làm thế nào
để đạt mục tiêu điểm viết trong kỳ thi IELTS? Đối với nhiều thí sinh đang chuẩn bị cho quá trình du học nước
ngoài hay với những du học sinh đã thành công tham gia môi trường học tập quốc
tế, kỹ năng viết nói chung hay kỹ năng viết bài luận nói riêng vẫn luôn là một
lo ngại lớn. “How to write a perfect essay for Ielts” lý giải những khó
khăn của phần thi viết trong IELTS và hướng dẫn người học hướng tiếp cận chung
đối với kỹ năng “khó nhằn” nhất này. Làm thế nào để tối đa điểm số? Cách tốt nhất
chính là đáp ứng tối đa các tiêu chí chấm điểm đặt ra. Cuốn sách phân tích và cụ
thể hóa 4 tiêu chí chấm điểm của IELTS, từ đó tổng hợp cách tiếp cận và triển
khai chung đối với một bài luận, bao gồm từ đọc hiểu đề, lên ý tưởng, cấu trúc
câu, phân đoạn và liên kết bài viết. Điểm cộng rất lớn của cuốn sách là đưa ra
ví dụ cụ thể và phong phú ở từng chủ điểm phân tích nhưng lại cô đọng ở các bài
mẫu. Trên các bài mẫu được chọn lọc kỹ lưỡng, tác giả đưa ra nhận xét điểm mạnh,
sửa lỗi trực tiếp, phân tích từng câu và giải thích. Cuốn sách chắc chắn sẽ là cuốn cẩm nang viết hữu ích cho những
ai muốn chinh phục kỹ năng viết học thuật. Một số ưu điểm nổi bật: - Tiếp cận lỗi sai và sửa lỗi chuẩn xác - Phân tích đề bài định hướng tư duy - Bài mẫu xuất sắc - Ứng dụng hiệu quả cho viết luận học thuật - Hướng dẫn chi tiết cách viết từ đơn vị nhỏ nhất, từ cách
dùng từ, đặt câu đến viết đoạn văn. Precise and to the point Practical and effective   Its plus is precise and practice guidance to each scoring criterion Straightforward to band 7 targetMời bạn đón đọc. ",108.0, 16 x 24 cm , 2020 , 1980Books , NXB Dân Trí ,172.0, David S. Wills , Bìa mềm ,
The Key To Your Ielts Writing Target,https://www.vinabook.com/images/thumbnails/product/240x/360372_p91740mimage195509144298.jpg,Đại học – cao đẳng – thcn,"  Thông tin tác giả    Phạm Á Phi     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Dan Berns     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đối với phần lớn thí sinh đã từng tham gia hay đang trong
quá trình chuẩn bị cho kỳ thi IELTS, phần thi viết vẫn luôn là nỗi ám ảnh. Làm thế nào đạt được số điểm mà bạn đặt ra? Làm thế nào để điểm viết không kém overall score xuống?  “The key to your
IELTS Writing target” chính là chìa khóa thành công mà bạn đang tìm kiếm.  Cuốn sách phân tích hướng dẫn chấm điểm theo
từng tiêu chí cụ thể cho cả Task 1 và Task 2. Dựa trên sự kỳ vọng đối với từng
band điểm, cuốn sách cung cấp cho người đọc chiến lược làm bài, cấu trúc hiệu
quả, từ vựng và ngữ pháp cao cấp đồng thời lưu ý những lỗi sai dẫn đến mất điểm.
Ưu điểm của cuốn sách là sự chi tiết, tỉ mỉ ở từng tiêu chí với cách tiếp cận
đa dạng và toàn diện từ cơ bản đến nâng cao, phù hợp với những đối tượng người
học khác nhau. Làm thế nào để hoàn thành tất cả các yêu cầu của đề bài? Làm thế
nào bài viết của bạn thật mạch lạc và liên kết? Làm thế nào bạn chứng minh được
vốn từ vựng phong phú? Làm thế nào để vượt trội về phạm vi và cấu trúc ngữ
pháp? Tất cả đều được giải đáp trong cuốn sách này. Nội dung sách được chia làm hai phần riêng biệt tương ứng với
hai task trong IELTS Writing. Như đã đề cập, cách tiếp cận của cuốn sách là dựa
trên từng tiêu chí chấm điểm, tức là làm thế để đạt điểm tối đa cho tiêu chí
đó. Tương ứng với 4 tiêu chí chấm điểm cho từng Task, cuốn sách hướng dẫn thí
sinh từ tiếp cận đề để hoàn thành bài viết đủ ý, cấu trúc bài viết để đảm bảo
tính mạch lạc, phong phú từ vựng và ngữ pháp để bài viết đặc sắc. Đi kèm với từng
phần là các lỗi sai thường gặp, các nhóm từ vựng đi kèm và cấu trúc ngữ pháp hiệu
quả để sử dụng. Trọng điểm của cuốn sách là tận dụng điểm số tối đa ở mọi tiêu
chí chấm điểm, giúp cải thiện điểm viết cho người học một cách tốt nhất. Với
“The key to your IELTS Writing target”, bạn có lẽ sẽ phải bất ngờ với kết quả
bài viết của mình.Mời bạn đón đọc. ",168.0, 16 x 24 cm , 2020 , 1980Books , NXB Dân Trí ,360.0," Phạm Á Phi , Dan Berns ", Bìa mềm ," Thu Vũ , Nguyễn Thị Hương "
Score Maximizing For The TOEFL® iBT - Listening And Reading,https://www.vinabook.com/images/thumbnails/product/240x/360471_p91797mimage195509133511.jpg,Đại học – cao đẳng – thcn,"  Thông tin tác giả    Bruce Stirling     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     TOEFL iBT được coi là “tấm hộ chiếu” mở ra cánh cửa du học
khắp năm châu. Tuy nhiên, để đạt được điểm số mong muốn bạn cần có một chiến
lược học tập hiệu quả. “Score Maximizing for
the TOEFL® iBT - Listening and Reading” 
hứa hẹn là một cuốn cẩm nang 
không thể thiếu của bất kỳ ai muốn 
bứt phá điểm số trong kỳ thi TOEFL iBT sắp tới. Cuốn sách sẽ cung cấp kiến thức gì cho bạn? Giúp người học  xây dựng
một chiến lược học tập hiệu quả  cho từng
kỹ năng. Những cách làm chi tiết, các mẹo làm bài thi cụ thể. Các bài tập thực hành, đáp án và file nghe để người đọc củng
cố và cải thiện kỹ năng ngôn ngữ của mình Cung cấp chi tiết về cách tính điểm cho từng kỹ năng giúp
người học có một cái nhìn tổng quát  để
tìm ra phương pháp học phù hợp nhất cho bản thân. Cuốn sách gồm các phần: Xây dựng phương học theo sơ đồ lập luận để nắm vững  những kiến thức trọng điểm của từng dạng kỹ
năng Hướng dẫn chi tiết,  mẹo
nhỏ cho từng dạng câu hỏi trong phần thi 
Listening và Reaing. Hệ thống bài tập thực hành kèm đáp ánMời bạn đón đọc. ",149.0, 16 x 24 cm , 2020 , 1980Books , NXB Dân Trí ,400.0, Bruce Stirling , Bìa mềm ,
The Key To Your Ielts Speaking Target,https://www.vinabook.com/images/thumbnails/product/240x/360371_p91739mimage195509144299.jpg,Đại học – cao đẳng – thcn,"  Thông tin tác giả    Dan Berns     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phạm Á Phi     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nếu bạn đang gặp phải những vấn đề về nói lắp, chưa thể mở rộng
được các luận điểm trong bài thi nói IELTS? Hay bạn băn khoăn về cách các vị
giám khảo đánh giá phần thi của bạn như thế nào? “THE KEY TO YOUR
IELTS SPEAKING TARGET” sẽ giúp bạn giải
đáp những câu hỏi như vậy. Đây là cuốn sách đầu tiên đưa ra những phân tích
theo hướng tư duy của các vị giám khảo khi tham gia chấm thi. Từ đó cung cấp
cho bạn những bí quyết giúp bạn đạt điểm trong kỳ thi sắp tới. Cuốn sách sẽ cũng cấp cho người học những lời khuyên, hướng
dẫn và những phân tích đánh giá của các vị giám khảo tại Cambridge để giúp người
học nhận ra được những thiếu sót mà bản thân còn mắc phải. Thông qua cách phân
tích các câu trả lời của các thí sinh trong từng phần thi giúp người học dễ
dàng hiểu được các lỗi sai, cách khác phục và những cách để cải thiện điểm số của
mình trong từng phần của bài thi Cuốn sách gồm các phần: -  Phân tích các yếu
tố mà các giám khảo thường dựa vào để đánh giá các phần thi của thí sinh. -  Xây dựng các chiến
lược để hoàn thiện câu trả lời của mình -  Xây dựng chiến lược
cụ thể cho từng dạng câu hỏi trong bài thi -  Chỉ ra các nguyên tắc
vàng, những lỗi sai khi sử dụng từ và cụm từ mà nhiều thí sinh thường mắc phải.Mời bạn đón đọc. ",179.0, 16 x 24 cm , 2020 , 1980Books , NXB Dân Trí ,436.0," Dan Berns , Phạm Á Phi ", Bìa mềm ," Ngân Giang , Đỗ Như Ngọc "
"Tuyển Tập Đề Thi Tốt Nghiệp THPT Và Tuyển Sinh Đại Học, Cao Đẳng Của Các Trường THPT Chuyên Môn Vật Lí 2009",https://www.vinabook.com/images/thumbnails/product/240x/26488_32957.jpg,Đại học – cao đẳng – thcn,"  Thông tin tác giả    Nguyễn Thị Thanh Huyền 
                                                                                                                                            Nguyễn Thị Thanh Huyền
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Mai Bình Hùng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả      Tuyển tập đề thi tốt nghiệp THPT và tuyển sinh đại học, cao đẳng của các trường THPT Chuyên môn Vật lí - 2009Thực hiện công văn số 9550/BGDD - KTKĐCLGD ngày 13/10/2008 của Bộ Giáo dục và Đào tạo chủ trương về các kỳ thi năm 2009, với yêu cầu tiếp tục nâng cao chất lượng kì thi năm 2009, với yêu cầu tiếp tục nâng cao chất lượng kì thi tốt nghiệp THPT, bổ túc THPT và kỳ thi tuyển sinh đại học, cao đẳng. Bộ Giáo dục và đào tạo thông báo một số chủ trương về các kỳ thi năm 2009 như sau:1. Trong kỳ thi tốt nghiệp THPT, bổ túc THPT vẫn tiếp tục thi trắc nghiệm 100% đối với các môn Ngoại ngữ, Vật lí, Hoá học, Sinh học; các môn Toán, Văn, Lịch sử, Địa lí thi tự luận (nếu có quy định môn thi).2. Trong kỳ thi tuyển sinh đại học, cao đẳng vẫn tiếp tục thi trắc nghiệm 100% đối vối các môn Ngoại ngữ, Vật lí, Hoá học, Sinh học; các môn Toán, Văn, Lịch sử, Địa lí thi tự luận.Để cung cấp tài liệu tham khảo cần thiết cho các thầy cô giáo và các em học sinh ôn tập kiến thức để nâng cao chất lượng kỳ thì tốt nghiệp THPT, bổ túc THPT và kỳ thi tuyển sinh đại học, cao đẳng, đảm bảo người tốt nghiệp đạt chuẩn kiến thức, kỹ năng đã quy định cho cấp THPT, chúng tôi tổ chức sưu tầm và tuyển chọn các đề thi tốt nghiệp THPT và đại học, cao đẳng môn Vật Lý của các trường THPT Chuyên trên toàn quốc như: Trường THPT Chuyên Trần Hưng Đạo, Trường THPT Chuyên Lê Quý Đôn, Trường THPT Chuyên Hà Tĩnh, Trường THPT Chuyên Lê Hồng Phong,",68.0, 17x24 cm , 02/2009 , Kinh Đô 2 , Nxb Hà Nội ,456.0," Nguyễn Thị Thanh Huyền , Mai Bình Hùng ", Bìa mềm ,
A Holistic Approach To Ielts Writing,https://www.vinabook.com/images/thumbnails/product/240x/360358_p91726mielts.jpg,Đại học – cao đẳng – thcn,"  Thông tin tác giả    Vũ Hải 
                                                                                                                                            Vũ Hải
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trước hết, tôi không phải là người có khả năng thiên bẩm về
ngôn ngữ, về tiếng Anh thì càng không. Tất cả thành quả tôi đạt được về tiếng
Anh nói chung và IELTS nói riêng đều bắt nguồn từ sự cố gắng và chăm chỉ. Trước
đây, tôi từng là một học sinh cá biệt đến nỗi việc thi đại học là một giấc mơ
xa vời, chứ chưa nói đến các chứng chỉ quốc tế IELTS hay TOEFL. Nhưng rồi nhận
ra rằng vấn đề không phải ở mình mà là ở phương pháp học. Chính vì nhận ra sự thiếu sót trong phương pháp học ở nhà
trường, tôi đã viết cuốn sách này, đúc kết lại quá trình tự học nhằm tiết kiệm
thời gian và tiền bạc cho bạn khi học tiếng Anh nói chung và IELTS writing nói
riêng. Dưới con mắt của người tự học, tôi hệ thống lại kiến thức và chia làm 4
giai đoạn: 1. Tạo nền tảng ngữ pháp, cách học từ vựng và luyện viết
câu. 2. Phân tích cấu trúc bài luận và cách viết trong từng câu hỏi. 3. Học cách diễn đạt chi tiết và paraphrasing. 4. Tự đánh giá bài luận. Tất cả những người viết giỏi mà tôi biết đều đi theo các
giai đoạn này, có thể tên gọi mỗi giai đoạn sẽ khác nhưng nội dung thì tương tự
nhau. Phương pháp này giống như một tấm bản đồ chỉ dẫn từng bước giúp bạn dần cải
thiện kĩ năng viết của mình. Nếu bản thân bạn học viết chưa hiệu quả, bạn đã thử
học theo cuốn sách này chưa?Mời bạn đón đọc. ",189.0, 16 x 24 cm , 07/09/2020 , 1980Books , NXB ĐH Kinh tế Quốc dân ,268.0, Vũ Hải , Bìa mềm ,
Sáng Tạo Trong Toán Lập Trình,https://www.vinabook.com/images/thumbnails/product/240x/332565_p86858mscan0001.jpg,Đại học – cao đẳng – thcn,"  Thông tin tác giả    Nguyễn Ngọc Giang     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Lập trình là một lĩnh vực đòi hỏi tư duy toán, tin",99.0, 17 x 24 cm , 03/2019 , Tri Thức Trẻ , NXB Thanh Niên ,332.0, Nguyễn Ngọc Giang , Bìa mềm ,
