,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
1,Từ Điển Tiếng Việt (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/c8/af/5d/83d9eee483200a32b5a7c6b846826402.jpg,Tiếng Việt,"Nghĩa của từ được giải thích chính xác, đầy đủ, ngắn gọn, dễ hiểu.Hầu hết các ví dụ đều được trích dẫn từ ca dao, tục ngữ, thành ngữ và văn học cổ điển đã trở thành mẫu mực trong hành ngôn của người ...",93800.0,11 x 18 cm,1224.0,"Nguyễn Tôn Nhan,Phú Văn Hẳn",,,,,Từ Điển Tiếng Việt (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/c8/af/5d/83d9eee483200a32b5a7c6b846826402.jpg,Tiếng Việt,"Nguyễn Tôn Nhan,Phú Văn Hẳn","Nghĩa của từ được giải thích chính xác, đầy đủ, ngắn gọn, dễ hiểu.Hầu hết các ví dụ đều được trích dẫn từ ca dao, tục ngữ, thành ngữ và văn học cổ điển đã trở thành mẫu mực trong hành ngôn của người ...",93800.0,VanLangBooks,2021-01-01 00:00:00,Bìa mềm,1224.0,Nhà Xuất Bản Hồng Đức,11 x 18 cm,,
2,Từ Điển Tiếng Việt Dành Cho Học Sinh,https://salt.tikicdn.com/cache/280x280/ts/product/31/99/2c/c781c8f6af263ea523d441eadf8f417e.jpg,Tiếng Việt,"Từ điển tiếng việt (dành cho học sinh) thuộc Viện Từ điển học và Bách khoa thư Việt Nam hướng dẫn biên soạn có nội dung đầy dủ , lượng từ vựng phong phú , mang tính chính xác cao . Cách trình bày từ đ...",51900.0,10.5 x 18 cm,668.0,Thành Yến,,,,,Từ Điển Tiếng Việt Dành Cho Học Sinh,https://salt.tikicdn.com/cache/280x280/ts/product/31/99/2c/c781c8f6af263ea523d441eadf8f417e.jpg,Tiếng Việt,Thành Yến,"Từ điển tiếng việt (dành cho học sinh) thuộc Viện Từ điển học và Bách khoa thư Việt Nam hướng dẫn biên soạn có nội dung đầy dủ , lượng từ vựng phong phú , mang tính chính xác cao . Cách trình bày từ đ...",51900.0,Nhà sách Minh Thắng,2021-04-01 00:00:00,Bìa mềm,668.0,Nhà Xuất Bản Dân Trí,10.5 x 18 cm,,
3,Từ Điển Tiếng Việt Thông Dụng (Bìa Mềm)(Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/0e/20/d7/9e5dc135ee4c3e6456243985faffdd5e.jpg,Tiếng Việt,"Cuốn TỪ ĐIỂN TIẾNG VIỆT THÔNG DỤNG  được biên soạn theo tiêu chí ngắn gọn, súc tích. Cuốn Từ điển chỉ chọn lọc những từ, cụm từ thông dụng, quen thuộc nhất trong đời sống hàng ngày.Nghĩa của từ được ...",44000.0,8 x 13 cm,972.0,Thành Yến,,,,,Từ Điển Tiếng Việt Thông Dụng (Bìa Mềm)(Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/0e/20/d7/9e5dc135ee4c3e6456243985faffdd5e.jpg,Tiếng Việt,Thành Yến,"Cuốn TỪ ĐIỂN TIẾNG VIỆT THÔNG DỤNG  được biên soạn theo tiêu chí ngắn gọn, súc tích. Cuốn Từ điển chỉ chọn lọc những từ, cụm từ thông dụng, quen thuộc nhất trong đời sống hàng ngày.Nghĩa của từ được ...",44000.0,Nhà sách Minh Thắng,2020-09-01 00:00:00,Bìa mềm,972.0,Nhà Xuất Bản Dân Trí,8 x 13 cm,,
4,Từ Điển Từ Láy Tiếng Việt (Dành Cho Học Sinh),https://salt.tikicdn.com/cache/280x280/ts/product/5f/53/2f/9c331a81cd3605d571a2f79568dd918e.jpg,Tiếng Việt,"Trong tiếng Việt thì láy” là một phương thức tạo từ đặc sắc, đồng thời, đây cũng là một hiện tượng ngôn ngữ phức tạp và đa dạng. Từ láy là sự hoà phối ngữ âm giữa các yếu tố tương ứng của các âm tiết ...",40000.0,11 x 18 cm,252.0,Bích Hằng,,,,,Từ Điển Từ Láy Tiếng Việt (Dành Cho Học Sinh),https://salt.tikicdn.com/cache/280x280/ts/product/5f/53/2f/9c331a81cd3605d571a2f79568dd918e.jpg,Tiếng Việt,Bích Hằng,"Trong tiếng Việt thì láy” là một phương thức tạo từ đặc sắc, đồng thời, đây cũng là một hiện tượng ngôn ngữ phức tạp và đa dạng. Từ láy là sự hoà phối ngữ âm giữa các yếu tố tương ứng của các âm tiết ...",40000.0,Khang Việt Book,2019-04-01 00:00:00,Bìa mềm,252.0,Nhà Xuất Bản Dân Trí,11 x 18 cm,,
5,Từ Điển Tiếng Việt Hoàng Phê (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/00/f5/a4/aba183a8895f54eb546fb97d7fbfbbdc.jpg,Tiếng Việt,"Trên thực tế, cuốn sách Từ điển Tiếng Việt Hoàng Phê của Viện Ngôn ngữ học đã là nguồn tra cứu, trích dẫn đáng tin cậy của hầu hết các bài viết, sách chuyên khảo, đặc biệt là các luận án tiến sĩ, luận...",370000.0,16 x 24 cm,1492.0,GS. Hoàng Phê,,,,,Từ Điển Tiếng Việt Hoàng Phê (Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/00/f5/a4/aba183a8895f54eb546fb97d7fbfbbdc.jpg,Tiếng Việt,GS. Hoàng Phê,"Trên thực tế, cuốn sách Từ điển Tiếng Việt Hoàng Phê của Viện Ngôn ngữ học đã là nguồn tra cứu, trích dẫn đáng tin cậy của hầu hết các bài viết, sách chuyên khảo, đặc biệt là các luận án tiến sĩ, luận...",370000.0,VanLangBooks,2019-06-01 00:00:00,Bìa cứng,1492.0,Nhà Xuất Bản Hồng Đức,16 x 24 cm,,
6,Từ Điển Nhân Vật Lịch Sử Việt Nam,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/u/tu-dien-nhan-vat-lich-su-viet-nam-bo-moi.u4972.d20170405.t134337.666617.jpg,Tiếng Việt,"Từ Điển Nhân Vật Lịch Sử Việt Nam Dân tộc Việt Nam từ thời Hùng Vương, đến nay là cả một chiều dài lịch sử tầm cỡ. Tinh thần dân tộc Việt Nam như thế nào? Có những ai hiền lương tài giỏi? Có những a...",300000.0,16 x 24 cm,1690.0,Nguyễn Q. Thắng - Nguyễn Bá Thế,,,,,Từ Điển Nhân Vật Lịch Sử Việt Nam,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/u/tu-dien-nhan-vat-lich-su-viet-nam-bo-moi.u4972.d20170405.t134337.666617.jpg,Tiếng Việt,Nguyễn Q. Thắng - Nguyễn Bá Thế,"Từ Điển Nhân Vật Lịch Sử Việt Nam Dân tộc Việt Nam từ thời Hùng Vương, đến nay là cả một chiều dài lịch sử tầm cỡ. Tinh thần dân tộc Việt Nam như thế nào? Có những ai hiền lương tài giỏi? Có những a...",300000.0,Công Ty TNHH TM - DV Chính Thông,2013-11-01 00:00:00,Bìa cứng,1690.0,,16 x 24 cm,,
7,Từ Điển Tục Ngữ Việt,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img161.u335.d20160628.t141441.jpg,Tiếng Việt,Từ Điển Tục Ngữ Việt Quyển từ điển này sẽ giúp cho người nói tiếng Anh và các bạn trẻ gốc Việt  sinh ra và lớn lên ở ngoại quốc có được một tài liệu tốt để học về ngôn ngữ và văn hoá Việt Nam. Sáchy ...,100000.0,14.5 x 20.5 cm,965.0,Vũ Thế Ngọc,,,,,Từ Điển Tục Ngữ Việt,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img161.u335.d20160628.t141441.jpg,Tiếng Việt,Vũ Thế Ngọc,Từ Điển Tục Ngữ Việt Quyển từ điển này sẽ giúp cho người nói tiếng Anh và các bạn trẻ gốc Việt  sinh ra và lớn lên ở ngoại quốc có được một tài liệu tốt để học về ngôn ngữ và văn hoá Việt Nam. Sáchy ...,100000.0,Nhà Sách Hồng Ngọc,2010-09-18 00:00:00,Bìa cứng,965.0,Nhà Xuất Bản Tổng hợp TP.HCM,14.5 x 20.5 cm,,
8,Từ Điển Đồng Âm Tiếng Việt (Dành Cho Học Sinh),https://salt.tikicdn.com/cache/280x280/ts/product/8e/b8/fb/61c468241f485164acb10632e2f00c91.jpg,Tiếng Việt,"Từ đồng âm là một biện tượng thú vị của tiếng Việt. Từ đồng âm là những từ trùng nhau về bình thức ngữ âm nhưng khác nhau về ngữ nghĩa. Từ thời xa xưa, ông cha ta đã vận dụng biện tượng này vào trong ...",38000.0,11 x 18 cm,372.0,Bích Hằng,,,,,Từ Điển Đồng Âm Tiếng Việt (Dành Cho Học Sinh),https://salt.tikicdn.com/cache/280x280/ts/product/8e/b8/fb/61c468241f485164acb10632e2f00c91.jpg,Tiếng Việt,Bích Hằng,"Từ đồng âm là một biện tượng thú vị của tiếng Việt. Từ đồng âm là những từ trùng nhau về bình thức ngữ âm nhưng khác nhau về ngữ nghĩa. Từ thời xa xưa, ông cha ta đã vận dụng biện tượng này vào trong ...",38000.0,Khang Việt Book,2019-04-01 00:00:00,Bìa mềm,372.0,Nhà Xuất Bản Dân Trí,11 x 18 cm,,
9,Click Tiếng Việt trình độ A T2 + 1 bookmark,https://salt.tikicdn.com/cache/280x280/ts/product/10/e2/6f/5d6a733725fcea3a398bfbc50c5da27b.jpg,Tiếng Việt,"Với chủ trương đề cao tính thiết thực và tính hiệu quả trong giảng dạy mà trong Bài học tại lớp chúng tôi chỉ cho những bài luyện và những mẫu câu, tức những công thức ngữ pháp được cụ thể hoá cho dễ ...",108000.0,<p>21x30</p>,,GS.TS Đoàn Thiện Thuật,,,,,Click Tiếng Việt trình độ A T2 + 1 bookmark,https://salt.tikicdn.com/cache/280x280/ts/product/10/e2/6f/5d6a733725fcea3a398bfbc50c5da27b.jpg,Tiếng Việt,GS.TS Đoàn Thiện Thuật,"Với chủ trương đề cao tính thiết thực và tính hiệu quả trong giảng dạy mà trong Bài học tại lớp chúng tôi chỉ cho những bài luyện và những mẫu câu, tức những công thức ngữ pháp được cụ thể hoá cho dễ ...",108000.0,CÔNG TY CỔ PHẦN NAGAI,2018-12-27 17:17:28,Bìa mềm,,Nhà Xuất Bản Thế Giới,<p>21x30</p>,,
10,Từ Điển Văn Học Việt Nam (Từ Nguồn Gốc Đến Hết Thế Kỷ XIX),https://salt.tikicdn.com/cache/280x280/ts/product/0f/b2/29/84ae32231db8a1afdde09a8da7874988.jpg,Tiếng Việt, Từ Điển Văn Học Việt Nam (Từ Nguồn Gốc Đến Hết Thế Kỷ XIX) Sách này là một tập hợp các thông tin về những dữ kiện thường được xem là chủ yếu của một nền văn học dân tộc - ở đây nói riêng về văn học...,188000.0,14.5 x 20.5 cm,988.0,"Lại Nguyên Ân,Bùi Văn Trọng Cường",,,,,Từ Điển Văn Học Việt Nam (Từ Nguồn Gốc Đến Hết Thế Kỷ XIX),https://salt.tikicdn.com/cache/280x280/ts/product/0f/b2/29/84ae32231db8a1afdde09a8da7874988.jpg,Tiếng Việt,"Lại Nguyên Ân,Bùi Văn Trọng Cường", Từ Điển Văn Học Việt Nam (Từ Nguồn Gốc Đến Hết Thế Kỷ XIX) Sách này là một tập hợp các thông tin về những dữ kiện thường được xem là chủ yếu của một nền văn học dân tộc - ở đây nói riêng về văn học...,188000.0,Nhà sách Minh Thắng,2018-01-01 00:00:00,Bìa mềm,988.0,Nhà Xuất Bản Văn Học,14.5 x 20.5 cm,,
